video name,clip start,clip endcoolvid,0.24,12.46
coolvid,12.94,18.68
coolvid,22.6,23.88
coolvid,24.34,25.62
coolvid,26.1,27.400000000000002
coolvid,27.88,29.16
coolvid,29.78,31.04
coolvid,31.54,32.82
coolvid,33.28,34.54
coolvid,35.0,39.54
coolvid,40.08,43.04
coolvid,43.64,44.92
coolvid,45.5,46.76
coolvid,53.34,56.32
coolvid,56.84,58.120000000000005
coolvid,58.78,60.06
coolvid,60.68,61.940000000000005
coolvid,62.68,63.940000000000005
coolvid,67.28,71.94
coolvid,72.48,75.44
coolvid,75.94,77.22
hehe,0.28,22.900000000000002
hehe,23.2,34.34
hehe,37.42,56.34
hehe,56.52,61.940000000000005
hehe,69.88,70.16
hehe,72.3,73.36
hehe,74.5,79.9
hehe,80.52,90.66
hehe,94.88,95.18
hehe,95.3,95.84
hehe,97.4,98.08
hehe,101.98,106.2
hehe,108.48,110.5
hehe,111.72,112.0
hehe,115.84,116.34
hehe,125.12,126.3
hehe,130.9,131.54
hehe,141.88,142.4
hehe,142.48,143.08
hehe,144.28,145.0
hehe,145.12,147.72
hehe,218.68,222.68
hehe,224.84,225.74
hehe,227.32,228.72
hehe,229.62,230.4
hehe,230.6,231.68
hehe,232.88,233.44
hehe,236.96,238.6
hehe,240.24,242.84
hehe,243.52,245.22
hehe,245.84,249.18
hehe,249.98000000000002,252.26000000000002
hehe,254.58,257.78000000000003
hehe,258.12,263.94
hehe,264.24,266.8
hehe,268.06,269.02
hehe,270.92,272.26
hehe,272.98,273.3
hehe,283.84000000000003,288.5
hehe,290.8,291.48
hehe,299.58,303.2
hehe,304.0,305.56
hehe,306.14,306.38
hehe,306.56,306.84000000000003
hehe,306.90000000000003,307.14
hehe,332.86,334.24
hehe,334.42,334.64
hehe,335.12,335.48
hehe,365.44,366.02
hehe,372.36,375.08
hehe,375.96,377.16
hehe,385.62,386.32
hehe,386.38,386.78000000000003
hehe,388.42,389.66
hehe,402.42,404.98
hehe,405.14,406.08
hehe,408.26,412.48
hehe,420.94,421.98
hehe,424.6,425.66
hehe,426.1,428.18
hehe,428.28000000000003,429.24
hehe,434.22,434.88
hehe,435.76,441.02
hehe,444.98,449.7
hehe,451.04,453.68
hehe,453.92,454.2
hehe,454.26,456.64
hehe,457.12,459.22
hehe,468.72,469.0
hehe,479.1,484.94
test,36.800000000000004,220.1
coolvid,0.14,18.84
coolvid,22.44,29.32
coolvid,29.62,46.92
coolvid,53.18,58.28
coolvid,58.6,62.1
coolvid,62.52,64.12
coolvid,67.12,77.38
hehe,0.18,34.58
hehe,35.02,35.800000000000004
hehe,37.22,63.32
hehe,65.2,66.12
hehe,69.32000000000001,71.34
hehe,71.72,73.9
hehe,74.16,92.2
hehe,92.92,93.62
hehe,94.2,96.62
hehe,97.0,98.48
hehe,98.68,99.32000000000001
hehe,101.38,106.38
hehe,108.28,110.9
hehe,110.98,114.92
hehe,115.5,116.88
hehe,124.92,128.14000000000001
hehe,128.38,129.44
hehe,129.52,133.3
hehe,135.08,136.16
hehe,141.26,148.22
hehe,161.9,162.94
hehe,166.72,169.26
hehe,178.04,179.12
hehe,197.08,197.38
hehe,207.64000000000001,208.46
